Include political parties, trade unions, POI (e.g. cafe), and holding institutions		Activity years		Places	Fill in only if  Palestine		number, address	Free text: if there is no street address	Relation to table Literary events 					free-text: sources  and links (private)	free-text: sources  and links (private)	any other note (private)
مقهى الزنوج	Café	1982	1994	Tunis		Tunisia		meeting place of Palestinian literary figures in Tunis								
مقهى الكون	Café	1982	1994	Tunis		Tunisia		meeting place of Palestinian literary figures in Tunis								
مكتبة الكتاب	Bookshop			Tunis		Tunisia										
نزل سلوى	Hotel	1982	1982	Tunis		Tunisia		meeting place of Palestinian literary figures in Tunis	L1002	took place at						
نقابة الممثلين العرب	Trade union	1942	1948	Jerusalem		Palestine									https://khazaaen.wordpress.com/2018/02/25/%D8%B9%D9%86-%D9%86%D9%82%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D9%85%D9%85%D8%AB%D9%84%D9%8A%D9%86-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8-%D9%81%D9%8A-%D8%A7%D9%84%D9%82%D8%AF%D8%B3/	Demolished in 2017
University of British Columbia	University	1908		Vancouver		Canada										
جامعة الكويت‎‎	University	1966		Kuwait City		Kuwait										
American University	University	1893		Washington D.C.		United States										
Harvard University	University	1636		Cambridge (MA)		United States										
Simon Fraser University	University	1965		Burnaby		Canada										
الجامعة العربية الأمريكية	University	2000		Telfit	Jenin	Palestine										
Canadian Institute for International Peace and Security	Research organisation	1983				Canada									https://mje.mcgill.ca/article/viewFile/7756/5685	
Al-Shabaka, The Palestinian Policy Network	Think Tank	2013		Washington D.C.		United States										
Trans Arab Research Institute	Research organisation	1998				United States										
جامعة القاهرة	University	1908		Cairo		Egypt										
St Antony's College	College	1950		Oxford		United Kingdom										
University of Calgary	University	1966		Calgary		Canada										
University of Manchester	University	2004		Manchester		United Kingdom										
SOAS University of London	University	1916		London		United Kingdom										
Université Paris 8 Vincennes-Saint-Denis	University	1969		Paris		France										
جامعة دمشق	University	1923		Damascus		Syria										
Institute for Palestine Studies	Research organisation	1963		Beirut		Lebanon										
Association of Arab American University Graduates	Cultural organisation	1967														
دار المعلمين بيافا	College			Jaffa		Palestine										
رابطة الكتاب والمثقفين العرب	Cultural organisation	1957				Israel		أول رابطة للكتاب والمثقفين العرب سنة 1957، وكان من مؤسسيها عيسى لوباني ونمر مرقص وعدنان ظاهر ، ومن اعضائها راشد حسين وحنا أبو حنا وعصام العباسي ومصطفى مرار وشكيب جهشان وحبيب قهوجي وفريد وجدي الطبري وحسني عراقي	L3010	participated in					http://www.safsaf.org/word/2013/nov/18.htm	
المكتبة الشعبية	Bookshop	1965		Nazareth		Israel		مكتبة تابعة للحزب الشيوعي أدارها عيسى لوياني، ثم سهيل نصار وندى حبيبي (زوجة إميل حبيبي)							http://wajihseman.com/alwan_18.php	
مكتبة الشعوب	Bookshop	1968	1987	Nazareth		Israel	مكتبة يملكها عيسى لوباني									
رابطة شعراء العربية	Cultural organisation	1955	1955			Israel								أبو حنا، حنا. رحلة البحث عن التراث، ص. 109		
رابطة القلم العربي	Cultural organisation	1956	1956			Israel								أبو حنا، حنا. رحلة البحث عن التراث، ص. 109		
جمعية الشبان المسيحية	Religious organisation			Nazareth		Israel			L3011	hosted by						
النادي الثقافي	Cultural organisation			Kafr Yasif		Israel			L3011	hosted by						
نادي الإخاء	Cultural organisation			Haifa		Israel			L3011	hosted by						
جوقة الطليعة	Cultural organisation	1948	1960	Nazareth		Israel								أبو حنا، حنا. رحلة البحث عن التراث، ص. 111		
لجنة إحياء تراث راشد حسين	Cultural organisation	1978	1979	Acre		Israel										
American University in Cairo	University	1919		Cairo		Egypt										
دار المعلمين بعمان	College	1953		Amman		Jordan										
الجامعة الأردنية	University	1962		Amman		Jordan										
وكالة غوث اللاجئين الفلسطينيين بالأردن	Political organisation			Amman		Jordan										
نادي الثقافي القومي	Cultural organisation			Kuwait City		Kuwait									https://www.paljourneys.org/ar/biography/9814/%D8%BA%D8%B3%D8%A7%D9%86-%D9%83%D9%86%D9%81%D8%A7%D9%86%D9%8A	
مركز الأبحاث لمنظمة التحرير الفلسطينية	Research organisation			Beirut		Lebanon										
فرقة البلالين	Theater troupe	1971				Palestine										
مسرح جامعة بير زيت	Theater					Palestine										
مسرح الفرافير	Theater					Palestine										
فرقة صندوق العجب	Theater troupe					Palestine										
رابطة الكتاب الأردنيين	Cultural organisation			Amman		Jordan										
رابطة الأدباء في الكويت	Cultural organisation			Kuwait City		Kuwait										
رابطة المسرحيين الأردنيين	Cultural organisation			Amman		Jordan										
سجن أبو عجيلة	Prison			Arish		Egypt										
سينما السامر	Cinema			Gaza		Palestine			L3018	took place at						
سجن بئر السبع	Prison			Beersheba		Palestine										
سجن عتليت	Prison			Atlit		Palestine										
سجن الجلمة	Prison			Haifa		Israel										
سجن الرملة	Prison	1934		Al-Ramla		Israel										
سجن الدامون	Prison			Haifa		Israel										
Chatham House	Think Tank			London		United Kingdom			L1010	took place at				عوض, ريتا		
UNESCO World Heritage Committee	Cultural organisation	1977		Paris		France										
Culture and Heritage Consultants	Cultural organisation	2012		Tunis		Tunisia										
Pergamon-Museum	Museum			Berlin		Germany			L25	took place at					Exhibition of Palestinian Folkloric Cultural Production Held 05/06/1978 - 20/08/1978	
جمعية صيانة	Cultural organisation			Tunis		Tunisia		In the area of تونس القديمة	L26	took place at				Link to source: https://archive.alsharekh.org/Articles/175/16365/368447/2	Exhibition of artworks by Arab world artists	Palestinian woman artist السعودي, منى exhibited her art here. Eg. Shown in Afaq Arabiya
Iraqi Cultural Centre	Cultural organisation		2015	London		United Kingdom		Shepherds Bush, London	L27	took place at					Was host to 1979 Baghdad International Poster Competition- Palestine: A Homeland Denied	
منظمة العمل الشيوعي	Political organisation	1970				Lebanon										
حركة القوميين العرب‎	Political organisation	1958														
الجبهة الديمقراطية لتحرير فلسطين‎	Political organisation	1967														
الجبهة الشعبية لتحرير فلسطين	Political organisation	1959														
بيت الكرمة	Cultural organisation	1963		Haifa		Israel	Hagefen St. 2		L3023	took place at			https://www.beit-hagefen.com/index.aspx?lang=2			
Israeli Ministry of Education and Culture	Government Organization	1949				Israel			L3023; L3024	participated in						
مسرح الحكواتي	Theater troupe			Jerusalem		Palestine	Palestinian National Theatre, Abu Obaida Street 04, Jerusalem		L30	participated in					https://archive.alsharekh.org/Articles/249/18428/416233/2	In Arabic, this troupe is now titled المسرح الوطني الفلسطيني الحكواتي In English: Palestinian National Theatre (UK, not USA spelling)  https://www.facebook.com/pg/AlmsrhAlwtnyAlflstynyAlhkwaty/about/?ref=page_internal
الهناء	Hotel			Tunis		Tunisia		Meeting point for the Palestinian literary circle in Tunisia during the 1980s.								
Venezia	Hotel			Hammamet		Tunisia		Meeting point for the Palestinian literary circle in Tunisia during the 1980s.								
القصبة	Hotel			Kairouan		Tunisia		Meeting point for the Palestinian literary circle in Tunisia during the 1980s.								
رابطة الكاتبات التونسيات	Cultural organisation			Tunis		Tunisia										
مؤسسة تامر للتعليم المجتمعي	Cultural organisation	1989		Ramallah		Palestine										
جمعية الروزنا لتطوير التراث المعماري	Cultural organisation	2007		Bir Zeit		Palestine	البلدة القديمة									
مسرح فرقة بلالين	Theater	1970		Jerusalem		Palestine										
مسرح صندوق العجب	Theater	1975		Ramallah		Palestine										
University of Wisconsin-Oshkosh	University			Oshkosh		United States										
وزارة الثقافة الفلسطينية	Government Organization	1994		Ramallah		Palestine										
حزب الدفاع الوطني الفلسطيني	Political organisation	1934		Jerusalem		Palestine										
المجمع العلمي العربي دمشق	Cultural organisation	1919		Damascus		Syria										
الحركة الإسلامية في إسرائيل	Political party	1971				Israel										
بلدية أم الفحم	Government Organization	1984		Umm Al-Fahm		Israel										
جمعية الأقصى لرعاية المقدسات الإسلامية	Cultural organisation	1991		Kafr Bara'		Israel										
اللجنة القطرية لرؤساء السلطات المحلية العربية	Political organisation	1974				Israel										
المجلس الإسلامي العالمي للدعوة والإغاثة	Religious organisation	1988		Cairo		Egypt										
مسرح نعم	Theater	2008		Hebron		Palestine										
سجن بئر السبع المركزي	Prison	1970		Beersheba		Israel										
سجن نفحة الصحراوي	Prison	1980		Beersheba		Israel										
سجن عسقلان	Prison	1970		Ashqelon		Israel										
مركز معا للعمل التنموي	Cultural organisation	1989		Ramallah		Palestine										
معهد إبراهيم أبو لغد للدراسات الدولية	Research organisation	1998		Bir Zeit		Palestine										
Storytelling center	Cultural organisation	2008		Amsterdam		Netherlands										
مركز خليل السكاكيني الثقافي	Cultural organisation	1996		Ramallah		Palestine										
سجن رامون	Prison	2006		Beersheba		Palestine										
سجن مجدّو	Prison	1988		Megiddo		Palestine										
سجن المسكوبية	Prison	1860		Jerusalem		Palestine										
سجن عوفر	Prison	1930		Beitunya		Palestine										
حركة المقاومة الفلسطينية حماس	Political party	1987		Gaza		Palestine									https://en.wikipedia.org/wiki/Hamas	
سجن هداريم	Prison	1999		Netanya		Israel									مجلة دراسات شرق أوسطية، 29-30،ص. 107	
Heathrow IRC	Prison	2004		London		United Kingdom									https://en.wikipedia.org/wiki/Colnbrook_Immigration_Removal_Centre	
حكومة الشرق العربي	Political organisation	1921	1946	Amman		Jordan									https://www.addustour.com/articles/659673-من-مفكرة-الحكومات-الأردنية-حكومات-الإمارة-حملت-إسم-«حكومة-الشرق-العربي»	
مركز دراسات التراث والمجتمع الفلسطيني	Cultural organisation	1972		Ramallah		Palestine										
الملتقى التربوي العربي	Cultural organisation	1998		Amman		Jordan									http://almoultaqa.com/Historical_Background1.aspx	
كلية غزة	College			Gaza		Palestine										
مدرسة قرية الشامية	School			Shamiyah		Iraq										
مدرسة مخيم البريج	School			Gaza		Palestine										
الحزب الشيوعي الفلسطيني في قطاع غزة	Political party	1923		Gaza		Palestine										
سرايا الحاكم الإداري العام لقطاع غزة	Prison			Gaza		Palestine										
سجن مصر العمومي	Prison	1899		Cairo		Egypt										
سجن القناطر الخيرية	Prison	1957		Derwah		Egypt										
مدرسة صلاح الدين الإعدادية	School			Gaza		Palestine										
معتقل الواحات الخارجة	Prison			Kharga		Egypt										
السجن الحربي	Prison			Cairo		Egypt										
مدرسة جباليا	School			Jabaliya		Palestine										
مدرسة بني سهيلا	School			Khan Yunis		Palestine										
الإذاعة الفلسطينية	Radio Broadcasting service	1964		Gaza		Palestine										
الاتحاد العام للكتاب والصحفيين الفلسطينيين	Cultural organisation	1966		Gaza		Palestine										
جائزة اللوتس	Award	1969		Cairo		Egypt										
الحزب الشيوعي العراقي	Political party	1934		Baghdad		Iraq										
الاتحاد العام للكتاب والأدباء الفلسطينيين	Cultural organisation			Ramallah		Palestine							http://www.gupw.ps/ar			
اتحاد الشباب الفلسطيني	Developmental Organisation	1992		Ramallah		Palestine							http://www.pyu-pal.org/ar			
