Identifiers: at least one of these fields is mandatory. @en is not mandatory! If the @ar  is available use this across tables. Include (YYYY-YYYY) for omonyms						Current or  last known	Either a prior one  or dual citizenship	year (YYYY) or date (DD/MM/YYYY) are in alternative Fill the district only if Palestine					year (YYYY) or date (DD/MM/YYYY) are in alternative Fill the district only if Palestine.								Relation to table Literary events 		Relatives  (only people recorded in a row)		use the separator ; for multiple values  (please copy & paste to avoid typos)			include acquaintances		free-text (public)	free-text: sources  and links (public)	free-text: sources and links (private)	any other note (private)
VIAF	Name @en	Name @ar	Pen names	Gender	Religion	Country of citiz. 	Country of citiz. (2)	Birth  date	Birth year	Birth city	Birth district	Birth country	Death  date	Death year	Death city	Death district	Death country	Manner of death	Cause of death	Literary  movement	Literary event	Relation  to event	Mother	Father	Siblings	Spouses	Children	Friends	Influenced by person	Biography	Sources public	Sources private	Other notes
		البرغوثي, حسين		Male		Palestine		05/05/1954	1954	Kaubar		Palestine	01/05/2002		Ramallah	Ramallah																	
		أبو لغد, إبراهيم		Male				15/02/1929	1929	Jaffa		Palestine	23/05/2001																				
		دراج, فيصل		Male					1943	Al-Ja'una																							
		زقطان, غسان		Male		Palestine			1954	Bayt Jala																							
		نصر الله, إبراهيم		Male		Jordan		12/2/1954	1954	Amman		Jordan																					
		سماحة, جوزيف		Male					1949	Khenchara		Lebanon	25/02/2007		London		United Kingdom	Natural	Heart attack														
		بدر, ليانة		Female		Palestine			1950	Jerusalem																							
		صدقي, محمد نجاتي		Male					1905	Jerusalem				1979	Athens		Greece																
		علوش, ناجي		Male																													
		ناصر, كمال		Male					1925	Bir Zeit	Ramallah	Palestine	10/04/1973		Beirut		Lebanon	Homocide	Assassination		L3022	participated in											
		الحسون, يوسف		Male																													
		العارف, عارف		Male					1892	Jerusalem				1973	Al-Bira	Ramallah																	born as Aref Shehadeh
		أبو هواش, سامر		Male					1972																								
		صالح, فخري		Male								Palestine																					
		شروف, هالة		Female																													
		صايغ, أنيس		Male		Palestine		03/11/1931	1931	Tiberias		Palestine	25/12/2009																		https://www.jadaliyya.com/Details/31046/Anis-Sayigh-A-Profile-from-the-Archives		
		المناصرة, عز الدين		Male					1946	Bani Na'im	Hebron	Palestine																			https://ar.wikipedia.org/wiki/%D8%B9%D8%B2_%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%B5%D8%B1%D8%A9		
		شقير, محمود		Male					1941																								
		الكرمي, عبد الكريم	أبو سلمى	Male					1909	Haifa			11/10/1980	1980	Damascus		Syria											طوقان, إبراهيم			https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85_%D8%A7%D9%84%D9%83%D8%B1%D9%85%D9%8A		possibly born 1907
		الخالدي, روحي		Male					1864					1913				Natural	Typhoid														
		نصار, نجيب		Male		Palestine		01/01/1865	1865	Ain Anoub		Lebanon	28/12/1947	1947	Nazareth		Palestine	Natural	Postoperative Complications														
		يخلف, يحيى		Male					1944	Samakh	Tiberias	Palestine																					
		فياض, توفيق		Male					1939	Muqeibila		Palestine									L1016; L1017; L1018	participated in						درويش, محمود؛ بنيس, محمد؛ أولاد أحمد,الصغير, محمد؛ الماجري, جميلة؛ الغزي, محمد؛ المبخوط, شكري؛ دحبور, أحمد؛ بسيسو, عبد الرحمن؛ خضر, حسن؛ يخلف, يحيى		A Palestinian writer who came to Tunis in 1980 and lives there to this day. He is famous for being Darwish´s compagnion with whom he shared a flat in Haifa´s Abbas Street 35 for 5 years. He left Palestine after leaving prison where he had stayed for six years. He breifly stayed in Cairo and Beirut, fled to Germany and then settled in Tunis. His first wife was killed in Beirut.		فياض, توفيق	
		أبو شاور, رشاد		Male					1942	Zikrin		Palestine																					
		أبو خالد, خالد		Male					1937	Silat ad-Dhahr	Nablus	Palestine																					
		شبلي, آسيا		Female																													
		عزام, سميرة		Female	Christianity	Palestine		13/09/1927	1927	Acre		Palestine	08/08/1967	1967	Ar-Ramtha		Jordan	Natural	Heart attack														
		سيف, وليد		Male					1948	Tulkarm		Palestine																					
		شفيق, منير		Male	Christianity	Palestine			1934	Jerusalem		Palestine																					منير شفيق عسل
		غنايم, محمود		Male				22/05/1949	1949	Baqa Al-Gharbiyya		Israel																					
		ذياب, فاطمة		Female		Israel			1951	Tamra	Galilee	Israel																					
		منصور, شوقية عروق		Female																													
		العزاوي, ضياء		Male		Iraq			1939	Baghdad		Iraq																كنفاني, غسان					
		قرمان, سعاد		Female					1927	Haifa		Palestine																					
		فوراني, خالد		Male		Israel																											
		وادي, فاروق		Male																													
		سحاب, الياس		Male					1937	Jaffa		Palestine																			https://www.abjjad.com/author/2794947267/%D8%A7%D9%84%D9%8A%D8%A7%D8%B3-%D8%B3%D8%AD%D8%A7%D8%A8/books		
		هلسا, غالب		Male		Jordan		03/12/1932	1932	Ma'in		Jordan	17/12/1989	1989	Damascus		Syria																
		فودة, علي		Male					1946	Qannir	Haifa	Palestine		1982	Beirut		Lebanon	Homocide	Bombing during War														
		الكيالي, عبد الوهاب		Male					1939		Jaffa	Palestine	12/07/1981	1981	Beirut		Lebanon	Homocide	Assassination														
		أبو شرار, ماجد		Male					1936	Dura	Hebron	Palestine	09/10/1981		Rome		Italy	Homocide	Assassination														
		خضر, نعيم		Male				30/12/1939	1939	Zababida		Palestine	01/06/1981		Brussels		Belgium	Homocide	Assassination														
		القلق, عز الدين		Male					1936	Haifa		Palestine	02/08/1978		Paris		France	Homocide	Assassination														
		الهمشري, محمود		Male					1939	Umm Khalid		Palestine	09/01/1973		Paris		France	Homocide	Assassination														
		زعيتر, وائل عادل‎		Male				02/10/1934	1934	Nablus		Palestine	16/10/1972		Rome		Italy	Homocide	Assassination														
		شحروري, صبحي	أبو نضال	Male					1934	Bal'a	Tulkarm	Palestine	10/02/2019																				شحروري/ شحروي
		حمّامي, سعيد		Male					1941	Jaffa		Palestine	04/01/1978		London		United Kingdom	Homocide	Assassination														
		ميخائيل, حنا	أبو عمر	Male					1935	Ramallah		Palestine	20/07/1976				Lebanon	Undetermined										سعيد, إدوارد; Genet, Jean					disappeared together with 11 other Plo militants in a rubber boat on their way to Tripoli
		العلي, ناجي سليم		Male					1938	Al-Shajara	Tiberias	Palestine	29/08/1987		London		United Kingdom	Homocide	Assassination														
		الشرابي, هشام		Male					1927	Jaffa		Palestine	13/01/2005		Beirut		Lebanon	Natural	Cancer														
		مقبل, حنا		Male					1939	Al-Tayyiba		Palestine	03/05/1984		Nicosia		Cyprus	Homocide	Assassination														
		عباس, إحسان		Male				02/12/1920	1920	Ayn Ghazal	Haifa	Palestine	29/01/2003		Amman		Jordan	Natural															
		مروة, حسين		Male					1908	Haddatha		Lebanon		1987	Beirut		Lebanon	Homocide	Assassination														
		مصطفى, جمانة		Female					1977																								
		قصير, سمير		Male				05/05/1960	1960	Beirut		Lebanon	02/06/2005	2005	Beirut		Lebanon	Homocide	Assassination														
	Handal, Nathalie	حنظل, نتالي		Female								Haiti																					
		المدهون, ربعي		Male					1945	Al-Majdal Ashqelon		Palestine																					
		عاشور, رضوى		Female				26/04/1946	1946	Cairo		Egypt	30/11/2014	2014	Cairo		Egypt	Natural															
	Genet, Jean			Male				19/12/1910	1910	Paris		France	14/04/1986	1986	Paris		France																
	Hafez, Sabri	حافظ, صبري		Male																													
		ناصر, يوسف نعمان		Male																													
		معروف, مازن		Male						Beirut		Lebanon																					
		اليوسف, يوسف سامي 		Male																											https://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%B3%D9%81_%D9%86%D8%B9%D9%85%D8%A7%D9%86_%D9%86%D8%A7%D8%B5%D8%B1		
		مهوي, إبراهيم		Male	Christianity				1937	Ramallah		Palestine																					
		بشارة, عزمي		Male				22/07/1956	1956	Nazareth		Israel																					
		منصور, خيري		Male					1945	Deir al-Ghusoun	Tulkarm	Palestine	19/09/2018	2018	Amman		Jordan									منصور, أمل							
	Mardam Bey, Farouk	مردم بك, فاروق		Male		France			1944	Damascus		Syria																					
	Khader, Sameh	خضر, سامح		Male																													
	Jiryis, Sabri	جريس, صبري		Male	Christianity	Palestine			1938	Fassuta	Safad	Palestine																			http://jiryis.net/about-me/		
		صنبر, إلياس		Male					1947	Haifa		Palestine																					
		السكاكيني, خليل		Male	Christianity			23/01/1878	1878	Jerusalem			13/08/1953	1953	Jerusalem																		
	Kayyal, Majd	كيّال, مجد		Male					1990	Haifa																							
		دوماني, بشارة		Male					1957			Saudi Arabia																					
3151594329905350923		بسيسو, جيهان		Female		United States			1984	Los Angeles		United States																					
		بسيسو, معين		Male					1926	Gaza	Gaza	Palestine	23/01/1984	1984	London		United Kingdom	Natural	Heart Failure		L3018	read poetry											
34525394		بركات, سليم		Male		Syria		01/09/1951	1951	Qamishli		Syria																					
		روحانا, شادي		Male		Israel			1985	Haifa																							
		منصور, أمل		Female					1950				31/10/2018	2018												منصور, خيري							
		غانم, يوسف		Male																								دانيال, هادي؛ حاتم, أدم					
		دانيال, هادي		Male		Syria			1956																			غانم, يوسف؛ حاتم, أدم		He came to Tunis in 1982 as a supporter of the PLO.			
		حاتم, أدم		Male		Iraq																						غانم, يوسف؛ دانيال, هادي					
112806649		طوقان, فدوى	دنانير	Female		Palestine		01/03/1917	1917	Nablus		Palestine	12/12/2003	2003	Nablus		Palestine	Natural	Stroke		L3021	read poetry			طوقان, إبراهيم						Furani 2012, Bibliography list		Tuqan, Fadwa. 1981. Qasa'id Siyasiyya. Acre: Dar al-Aswar.
88095026		العيسى, داوود, عيسى		Male		Palestine			1878	Jaffa			29/06/1950	1950	Beirut		Lebanon														https://www.paljourneys.org/en/biography/9731/isa-al-isa		
31856668		البستاني, وديع		Male		Lebanon	Palestine		1888	Dibbieh		Lebanon	20/01/1954	1954			Lebanon	Natural													https://www.paljourneys.org/en/biography/9843/wadi%E2%80%98-faris-al-bustani		
		اسطفان, حنا, اسطفان		Male		Palestine			1899	Bayt Jala				1949			Lebanon														http://alqudslana.com/index.php?action=individual_details&id=2739		
		حماد, عصام		Male		Jordan	Palestine	12/05/1925	1925	Jarash		Palestine	07/06/2006		Amman		Jordan													Poet and Radio Announcer			
		الحاج عيسى, محيي الدين		Male		Palestine			1900	Safad			25/03/1974		Aleppo		Syria													Poet and Writer - his only book of poetry appeared after his death	https://www.diwanalarab.com/%D8%A7%D9%84%D8%B4%D8%A7%D8%B9%D8%B1-%D9%85%D8%AD%D9%8A-%D8%A7%D9%84%D8%AF%D9%8A%D9%86		
		الخوري, اسكندر		Male		Palestine			1888	Bayt Jala				1973	Bayt Jala		Palestine	Natural													https://www.palestinapedia.net/%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1-%D8%A7%D9%84%D8%AE%D9%88%D8%B1%D9%8A-%D8%A7%D9%84%D8%A8%D9%8A%D8%AA%D8%AC%D8%A7%D9%84%D9%8A/		
		العيسى, سعيد		Male		Palestine			1915	Jaffa				1991	London		United Kingdom																
		الجوزي, نصري		Male		Palestine			1908	Jerusalem			17/08/1996		Damascus		Syria																
		بدران, جميل		Male		Palestine			1909	Haifa				1999	Ramallah		Palestine													Artist and Caligrapher	http://info.wafa.ps/persons.aspx?id=311		
		بلاطة, كمال		Male		Palestine			1942	Jerusalem		Palestine	06/08/2019		Berlin		Germany	Natural							بلاطة, عيسى				Berger, John; الحلبي, خليل	Artist and Editor	https://www.paljourneys.org/ar/biography/9736/%D9%83%D9%85%D8%A7%D9%84-%D8%A8%D9%8F%D9%84%D8%A7%D9%91%D8%B7%D8%A9		
		بلاطة, عيسى		Male		Canada	Palestine	25/02/1929	1929	Jerusalem		Palestine	01/05/2019		Montreal		Canada	Natural							بلاطة, كمال					Scholar, Writer, Translator			
		الشيخ, عبد الرحيم		Male					1973	Jerusalem		Palestine																			https://web.archive.org/web/20071009114934/http://imeu.net/news/article005740.shtml		
14792508		خوري, إلياس		Male	Christianity			12/07/1948	1948	Beirut		Lebanon																					
63895837		لوباني, عيسى		Male		Israel	Palestine		1926	Al-Mujaydal	Nazareth	Palestine	28/01/1999		Nazareth		Israel				L3009; L3010	participated in							ميخائيل, مراد		https://www.knooznet.com/?app=article.show.32590		
		مرقس, نمر		Male		Israel	Palestine	15/02/1930	1930	Kafr Yasif		Palestine	29/01/2013		Kafr Yasif		Israel	Natural			L3009	participated in									https://www.goodreads.com/author/show/7266790._		كان معلم محمود درويش في دير الأسد في بدايات الخمسينيات
		الظاهر, أبو السعود, عدنان		Male		Israel	Palestine		1930	Nazareth		Palestine	12/09/2016		Acre		Israel	Natural													https://www.arab48.com/%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D9%85%D8%AD%D9%84%D9%8A%D8%A9/2016/09/12/%D9%88%D9%81%D8%A7%D8%A9-%D8%A7%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D8%A9-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B1%D8%A8%D9%8A-%D8%B9%D8%AF%D9%86%D8%A7%D9%86-%D8%A3%D8%A8%D9%88-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF-%D8%A7%D9%84%D8%B8%D8%A7%D9%87%D8%B1		
297091757		جهشان, شكيب		Male		Israel	Palestine	21/07/1936	1936	Al-Maghar		Palestine	14/02/2003		Nazareth		Israel													Poet			
40981781		مرار, مصطفى		Male		Israel	Palestine	28/02/1930	1930	Jaljuliya		Palestine									L3010	participated in								Writer of childern's lit			
		الطبري, وجدي, فريد		Male		Israel	Palestine		1931	Tiberias		Palestine	10/08/2003		Nazareth		Israel																
		نصار, سهيل		Male		Israel	Palestine	27/03/1925	1925	Nazareth		Palestine	18/01/2002		Nazareth																http://wajihseman.com/alwan_18.php		
115951635	Tammuz, Benjamin			Male		Israel	Soviet Union	11/07/1919	1919			Soviet Union	19/07/1989		Tel Aviv		Israel				L3010	organised by											
45778089	Halfi, Avraham			Male		Israel			1904			Poland	08/06/1980		Tel Aviv		Israel				L3010	participated in											
51842906	Shlonsky, Avraham			Male		Israel		06/03/1900	1900			Ukraine	18/05/1973		Tel Aviv		Israel				L3010	participated in											
69036415	Gouri, Haim			Male		Israel		09/10/1923	1923	Tel Aviv		Palestine	31/01/2018		Jerusalem		Palestine				L3010	participated in											
27304203	Shamir, Moshe			Male		Israel		15/09/1921	1921	Safad		Palestine	21/08/2004				Israel				L3010	participated in											
297546196		نقولا, جبرا		Male		Israel	Palestine	16/02/1912	1912	Haifa		Palestine	25/12/1974		London		United Kingdom				L3010; L3012; L3019	participated in						أبو حنا, حنا؛ خميس, صليبا			https://alchetron.com/Jabra-Nicola		
		مصباحي, حسونة		Male		Tunisia			1950			Tunisia									L1007	participated in						درويش, محمود		   مصباحي  is a Tunisian novelist, who was a journalist during the 1980s and 1990s, when the Palestinian literary circle was located in Tunis.			
		ياسين, عبد الحميد	أبو أسامة	Male		Palestine			1906	Al-Lydd		Palestine		1975	Amman		Jordan									ياسين, ماجد, منيرة							
		عبد المجيد, فايزة		Female		Palestine			1908	Nablus		Palestine		1996	Amman		Jordan																
		صيام, محمد		Male		Palestine			1917	Lifta	Jerusalem	Palestine	30/01/1991		Jerusalem		Palestine													Calligrapher			Worked with Al-Muntada Magazine
		الكيالي, دعد		Female		Kuwait	Palestine		1930	Al-Ramla		Palestine																		Poet			
		الريماوي, سعيد		Male		Jordan	Palestine																							Poet			
		مصطفى, حسن		Male		Palestine		25/12/1914	1914	Bittar		Palestine	04/06/1961		Bittar		Palestine																
		عوض, ريتا		Female		Lebanon															L1008; L1009; L1010; L1011; L1013; L1014; L1015	hosted by						فياض, توفيق؛ درويش, محمود؛ بلاطة, كمال	حاوي, خليل	Dr. Rita Awad is a literary critic and theorist. She has been living in Tunisia since 1979 and worked for many years for ALECSO. It was her initiative to elect Jerusalem as the Arab capital of culture in 2009.		private meeting	relation to events: L1009 and L1010 organised by, L1011 initiated by; L1012,  L1013 and L1014 co-organised by
298207819		إبراهيم الإيراني, مؤيد		Male		Israel	Palestine		1910	Acre		Palestine		1987	Haifa		Israel													Poet	https://www.almoajam.org/lists/inner/5542		
310614411		الفاروقي, التاجي, سليمان		Male		Palestine			1882	al-Ramla		Palestine		1958	Jericho		Palestine													لقبه معري فلسطين	https://www.paljourneys.org/ar/biography/9842/%D8%A7%D9%84%D8%B4%D9%8A%D8%AE-%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86-%D8%A7%D9%84%D8%AA%D8%A7%D8%AC%D9%8A-%D8%A7%D9%84%D9%81%D8%A7%D8%B1%D9%88%D9%82%D9%8A		
75531725		عبد الخالق, مطلق		Male		Palestine			1910	Nazareth		Palestine		1937	Haifa		Palestine	Accident	Road Injury									البستاني, وديع			https://www.palestinapedia.net/%D9%85%D8%B7%D9%84%D9%82-%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D8%AE%D8%A7%D9%84%D9%82-1909-1937/		
		العبوشي, برهان الدين		Male		Palestine			1911	Jenin		Palestine	08/02/1995		Baghdad		Iraq													Playwright and Poet	https://www.palestinapedia.net/%D8%A8%D8%B1%D9%87%D8%A7%D9%86-%D8%A7%D9%84%D8%AF%D9%8A%D9%86-%D8%A7%D9%84%D8%B9%D8%A8%D9%88%D8%B4%D9%8A/		
		الخوري, لبيب, جميل		Male		Israel	Palestine		1907	Kafr Yasif		Palestine		1986	Kafr Yasif		Israel														https://www.almoajam.org/lists/inner/1680		
		يونس, طاهر, أحمد		Male		Israel	Palestine		1911	Ara	Haifa	Palestine	14/11/1995		Ara	Haifa	Israel														https://www.knooznet.com/?app=article.show.31920		
4777240		خليل, نجيب, جورج		Male		Israel	Palestine		1932	Ibillin		Palestine		2001			Israel													The first poet in occupied Palestine to publish a book after the nakba	http://www.odabasham.net/%D8%AA%D8%B1%D8%A7%D8%AC%D9%85/41133-%D8%AC%D9%88%D8%B1%D8%AC-%D9%86%D8%AC%D9%8A%D8%A8-%D8%AE%D9%84%D9%8A%D9%84-%D9%83%D9%86%D8%A7%D8%B1-%D8%A7%D9%84%D8%AC%D9%84%D9%8A%D9%84		
		ديرملكنيان, ميشيل		Male		Israel	Palestine		1923	Haifa		Palestine		2009			Israel											أبو حنا, حنا		لحن الكثير من قصائد شعراء الداخل الفلسطيني			
93504588		عبد الله, فوزي		Male		Israel	Palestine		1942	Nazareth		Palestine	18/02/1988		Nazareth		Israel													Poet	https://www.knooznet.com/?app=article.show.33909		
		خاص, محمد		Male		Israel	Palestine			Gaza		Palestine					Palestine			Social Realism	L3012; L3019	participated in				عبدو, ماري							
		أبو عراق, سعاد		Female																													
		أبو حمدان, جمال		Male																													
		أبو رية, يوسف		Male																													
		أبو شندي, صالح		Male																													
		أبو أصبع, صالح		Male																													
		أبو صوفة, محمد		Male																													
		أبو عرقوب, أحمد		Male																													
		أبو علي, مصطفى		Male																													
		أبو غنيمة, حسان		Male																													
		أبو لبدة, حسن		Male																													
		أبو لوز, يوسف		Male					1956			Palestine																					
		أبو لية, حسن		Male																													
		أبو مغلي, أمور		Male																													
		أبو مطر, أحمد		Male																													
		أبو ناضل, زيد		Male																													
		أبو هشهش, إبراهيم		Male																													
		أبو الهيجاء, نواف		Male		Palestine																											
		الأشقر, يوسف		Male																													
		اغا, أديب, عادل		Male																													
		أمين, يوسف		Male																													
		أنيس, محمد		Male																													
		أيوب, محمد		Male																													
		باسم, احمد, باسم		Male																													
		البتيري, علي		Male																													
		بدر, عصام		Male																													
		بكار, يوسف		Male																													
		بنورة, جمال		Male																													
		تامر, زكريا		Male		Syria																											
		ترتير, عادل		Male																													
		التل, عاصم		Male																													
		تماري, فيرا		Female																													
		توفيق, قاسم		Male		Jordan	Palestine					Palestine																					
		جبر, كمال		Male																													
		جبار, فرانسوا		Male		France																											
		جبر, ناهض		Male																													
		جبيل, إبراهيم		Male																													
		جمعة, حسين		Male																													
		جويدة, امتثال		Female																													
		حجازي, علي		Male																													
		حسين, مرتضى, باسمة		Female		Palestine																											
		حسنين, حسين		Male																													
		الحسيني, زين		Male																													
		حقي, بديع		Male																													
		حمدان, صبحي		Male																													
		حمودي, باسم		Male																													
		حوراني, يوسف		Male																													
		الحيدري, بلند		Male		Iraq																											
		خالد, حمدان		Male																													
		خروب, محمد		Male																													
		خوري, بشارة		Male																													
		الدردنجي, هيام		Female																													
		دنقل, امل		Male		Egypt																											
		الديوك, ياسر		Male																													
		دويكات, مفيد		Male																													
		راغب, نصر		Male																													
		الربودي, محمود		Male																													
		رشيد, علي		Male																													
		رفاعي, ياسين		Male																													
		رضوان, عبد الله		Male								Palestine																					
		الروسان, محمود		Male																													
		رباح, وليد		Male																													
		الريحاني, نجيب		Male		Egypt																											
		الريماوي, محمود		Male																													
		سليمان, نبيل		Male																													
		السمان, غادة		Female																													
		السمرائي, إبراهيم		Male		Iraq																											
		السواحري, خليل		Male																													
		سيف, فارس		Male																													
		شاهين, أحمد		Male																													
		الشلبي, محمود		Male					1943	Danna		Palestine																					
		الشحام, عبد الله		Male																													
		شلش, محمد		Male																													
		شمعون, عبد الرؤوف		Male																													
		شمعون, عبد اللطيف		Male																													
		شموط, إسماعيل		Male																													
		الشيخ, جبريل		Male																													
		صالح, الطيب		Male																													
		العاني, يوسف		Male																													
		عبد القادر, محمد		Male																													
		عدوان, ممدوح		Male																													
		علام, محمد		Male																													
		العاني, شجاع		Male																													
		عبد السلام, سليم		Male																													
		عبد السلام, وليد		Male																													
		عبد العزيز, نصر		Male																													
		عبد العزيز, يوسف		Male					1956			Palestine																					
		العبسي, إبراهيم		Male																													
		عبوش, سامح		Male																													
		العتيلي, مؤيد		Male																													
		عرايدي, نعيم		Male																													
		عرفات, عفاف		Female																													
		عسقلاني, غريب		Male																													
		عشراوي, إميل		Male																													
		عشراوي, حنان		Female																													
		العلم, إبراهيم		Male																													
		علوش, علي		Male																													
		عليان, حافظ		Male																													
		عمورة, عزيز		Male																													
		العمري, شوقي		Male																													
		عودة, أحمد		Male								Palestine																					
		عيسى, إبراهيم		Male																													
		العيلة, زكي		Male																													
		غنيم, عبد الرحمن		Male																													
		صالح, عبد الناصر		Male																													
		صالح, مصطفى		Male																													
		صائغ, مي		Female																													
		صادق, محمود		Male																													
		الصغير, رباح		Male																													
		ضمرة, محمد		Male																													
		ضمرة, يوسف		Male					1952			Palestine																					
		طوبي, أسمى		Female																													
		طه, محمود		Male																													
		طوقان, فواز		Male																													
		الظاهر, محمد		Male					1951	Aqabat Jaber		Jordan																					
		فرج, سميح		Male																													
		كريم, فوزي		Male																													
		الفول, علي		Male																													
		القاضي, محمد		Male																													
		القيسي, محمد		Male																													
		كامل, فريد		Male																													
		الكحلوات, حمدي		Male																													
		الكبيسي, طراد		Male																													
		لافي, محمد		Male																													
		عمر, محجوب		Male																													
		محفوظ, نجيب		Male																													
		محمد, سامي		Male																													
		المشايخ, محمد		Male																													
		مشوح, وليد		Male																													
		مصطفى, كريم		Male																													
		مصلح, أحمد		Male																													
		ملحس, أمين		Male																													
		ملحس, سعاد		Female																													
		الموسوي, محسن		Male		Iraq																											
		ميخائيل, ناديا		Female																													
		الناعوري, عيسى		Male																													
		النحال, نبيلة		Female																													
		نحلة, مفيد		Male																													
		نعواش, أحمد		Male																													
		النمري, كرام		Male																													
		هلسا, بسام		Male																													
		الهليس, وليد		Male																													
		الهواري, بشير		Male																													
		وطار, الطاهر		Male		Algeria																											
		يحيى, حسب الله		Male																													
	Kanafani, Anni			Female		Denmark																											
	Eliot, Stearns, Thomas			Male	Christianity	United States	United Kingdom	26/09/1888	1888	St. Louis		United States	04/01/1965	1965	London		United Kingdom	Natural	Emphysema	Modernism													
	Pound, Ezra			Male		United States		30/10/1885	1885	Hailey		United States	01/11/1972	1972	Venice		Italy	Natural	Bowel Obstruction	Modernism													
		العدوان, أمينة		Female																													
		أبو شايب, زهير		Male																													
		أبو الشعر, هند		Female																													
		أبو علبة, عائدة		Female																													
		أبو علي, خديجة		Female																													
		أبو غزالة, رجاء		Female																													
		بدر, ليالي		Female																													
		التل, سهير		Female																													
		جانم, عطاف		Female																													
		جرار, حكيمة		Female																													
		حداد, تريز		Female																													
		حسن, رزاق		Male																													
		حمدان, يوسف		Male																													
		خالد, عدنان		Male								Palestine																					
		الخطيب, يوسف		Male																													
		خليل, إبراهيم		Male																													
		خريس, سائدة		Female																													
		خوري, سميرة		Female																													
		دب, علي		Male																													
		الربيعي, شوكت		Male																													
		زقطان, زهرة		Female																													
		سرحان, نمر		Male								Palestine																					
		السعودي, منى		Female																													
		الشريف, أحمد		Male																													
		عباس, عبد الجبار		Male																													
		العبيدي, سعدون		Male																													
		العقيدي, سلمان		Male																													
		العلاق, علي		Male																													
		عمر, زهرة		Female																													
		العيسى, ريما		Female																													
		غوشة, عصمت		Female																													
		صفدي, مطاع		Male																													
		لؤلؤ, عبد الواحد		Male																													
		مهدي, سامي		Male																													
		النجار, عائدة		Female																													
		النصير, ياسين		Male																													
		الهدهد, روضة		Female																													
		هويدي, صالح		Male																													
		الوسي, ثابت		Male																													
		عاشور, علي	أبو الهول دم دم	Male		Israel	Palestine	20/09/1926		Gaza		Palestine	12/09/1997		Prague		Czech Republic				L3018; L3019	participated in				شويري, سلمى		خاص, محمد؛ بسيسو, معين؛ توما, اميل؛ خميس, صليبا؛ حبيبي, إميل؛ درويش, محمود؛ القاسم, سميح		Editor, Writer, Translator, and Poet	https://amadmedia.com/ar/post/317710		
		سلمان, نور, فرج		Male		Israel	Palestine			Ibillin		Palestine									L3019	participated in								Lawyer and writer published one story collection in 1960 titeled أبرياء وجلادون: قصص من الحياة			
		الرشيد, هارون هاشم		Male																										Palestinian poet who lived in Tunis for a long time.		عوض, ريتا	
		بدين, ادوارد		Male		Palestine																											
		حمو, سعيد		Male																											Wrote testimonial account of 1948 Battle of Jenin in Iraqi journal Afaq Arabiya, Nov. 1979 issue.		https://archive.alsharekh.org/contents/175/16369
		كمالي, شفيق		Male		Iraq																											
	Novinski, Marian			Male		Poland	Belarus														L27												
		الحسيني, محي الدين, علي		Male		Palestine																											
		الحسن, خالد		Male																					الحسن, هاني; الحسن, بلال								
		الحسن, هاني		Male																					الحسن, خالد; الحسن, بلال								
		خوري, سليم		Male		Israel	Palestine		1934	Al-Birwa		Palestine		1991	Haifa		Israel				L3024	participated in									https://www.kataranovels.com/novelist/%D8%B3%D9%84%D9%8A%D9%85-%D8%AE%D9%88%D8%B1%D9%8A/		
	Lorca, García, Federico			Male		Spain		05/06/1898	1898	Fuente Vaqueros				1932			Spain	Homocide	Firing squad	Generation of 27										Poet, writer and playwright deemed to be of great influence for many Arab poets, including Mahmoud Darwish	https://archive.alsharekh.org/Articles/249/18431/416363/14		Bibliographic information drawn from https://www.wikidata.org/wiki/Q41408
		عبد الله, لطوف		Male		Tunisia																							عوض, ريتا				
		بناني, محمد		Male		Tunisia																								A valuable literary personality who owns a vast private collection.			
		الرايس, حياة		Female		Tunisia																						فياض, توفيق					
		دبوسي, بدر		Male		Tunisia																											
		السلفيتي, راجح		Male		Tunisia			1921					1990																Palestinian writer whose folk literature was analysed in an article from the Tunisian journal al-Tariq al-Jadid. He was a member of the communist party in the 1950s, exiled between 1948 and 1967, imprisoned between 1973 and 1974 and received a prize for popular heritage.		TM 15.04.2020	
51832460	Kanana, Sharif	كناعنة, شريف		Male		Palestine			1935	Arraba	Galilee	Israel									L4001	participated in						مهوي, إبراهيم			https://electronicintifada.net/content/interview-sharif-kanaana-palestinian-folklore-and-identity/9825		
