Publishing house		Activity years		Places	Fill in only if  Palestine		number, address						Relation to table Literary events 					free-text: sources  and links (private)	free-text: sources  and links (public)		any other note (private)
	الشاشة الفلسطينية			Ramallah		Palestine															
	الشامل للنشر والتوزيع			Nablus		Palestine															
	الشجرة إدارة مشاريع			Haifa		Israel															
	الشخشير للطباعة والنشر	1998		Nablus		Palestine		00 970 0379158  											http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الشركة الأردنية المتحدة للصحافة			Amman		Jordan															
	الشركة الفلسطينية للتوزيع	2005		Ramallah		Palestine		00 970 2973333								زعموري, عودة			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الصخرة المشرفة للنشر	2000		Husan		Palestine		00 970 052863707								الشاعر, عماد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الطيب للطباعة والنشر	1997		Bethlehem		Palestine		00 970 0741526								هرماس, غسان			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	القادرية للنشر والتوزيع	2004		Jenin		Palestine															
	القبس العربي			Acre		Israel		00 970 2531550								أبو شومر, توفيق			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	اللجنة التنفيذية لمنظنة التحرير  الفلسطينية			Beirut		Lebanon															
	اللجنة التنفيذية لمنظنة التحرير  الفلسطينية			Nicosia		Cyprus															
	اللجنة الثقافية لنقابة عمال المطابع			Nablus		Palestine															
	اللجنة المركزية للحزب الشيوعي الفلسطيني			Beirut		Lebanon															
	اللقاء			Jerusalem		Palestine															
	المؤسسة العربية للدراسات والنشر			Beirut		Lebanon															
	المؤسسة الفلسطينية للارشاد القومي			Ramallah		Palestine															
	المؤسسة الفلسطينية للنشر	2000		Ramallah		Palestine	رام الله | شارع ركب | عمارة النتشة | الطابق الخامس	00 970 2973604		https://www.facebook.com/books.pal/						جبرين, موسى			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	المجلس الأعلى للتربية والثقافة			Ramallah		Palestine					Palestine Liberation Organisation							http://www.wafa.ps/ar_page.aspx?id=o6sdjxa59368448634ao6sdjx			
	المجمع الثقافي			Abu Dhabi		United Arab Emirates															
	المجموعة 194			Damascus		Syria															
	المداد الناطق للنشر والتوزيع	2012		Al-Mazra'a Al-Sharqiyya		Palestine		00 970 599 377 192	naelsaleh@yahoo.com	https://www.facebook.com/maktabt.almedad.main.page/									http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	المركز الفلسطيني للثقافة والاعلام			Jenin		Palestine	ط. 3,ع. فؤاد المركزية,ش. ابو بكر, وسط البلد	00 970 2971246								قاسم, جهاد		https://yellowpages.com.ps/companies/9936-%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A-%D9%84%D9%84%D8%AB%D9%82%D8%A7%D9%81%D8%A9-%D9%88%D8%A7%D9%84%D8%A7%D8%B9%D9%84%D8%A7%D9%85-%D9%88%D8%A7%D9%84%D9%86%D8%B4%D8%B1	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	المركز الفلسطيني للدراسات الاسرائلية			Ramallah		Palestine	المصيون، رام الله، فلسطين	00 970 2  2966201	info@madarcenter.org	https://www.madarcenter.org/											
	المركز الفلسطيني للنشر والتوزيع	1999		Ramallah		Palestine		00 970 2961889													
	المركز الفلسطيني للنشر والدراسات	2005		Ramallah		Palestine	ام الله - المصيون بجانب وزارة التخطيط، عمارة ابن خلدون الطابق الثاني	00 972 02 2966201	madar@madarcenter.org	https://alraqamia.com/user/profile/publisher/5											
	المركز القومي للدراسات والتوثيق			Gaza		Palestine															
	المركز اللناني للدراسات			Beirut		Lebanon															
	المركز الوطني للدراسات والطباعة والنشر والتوزيع			Beirut		Lebanon															
	المسرح الحديث			Nazareth		Palestine												https://www.facebook.com/TheArchiveOfNazareth/photos/a.359117080804580/369790089737279/?type=3&comment_id=537728539610099&comment_tracking=%7B%22tn%22%3A%22R%22%7D			
	المسرح الوطني الفلسطيني	1984		Jerusalem		Palestine	Abu Obaida Street 04, Jerusalem		info@pnt-pal.org	https://www.facebook.com/AlmsrhAlwtnyAlflstynyAlhkwaty/											
	المطبعة العصرية			Jerusalem		Palestine															
	المطبعة الجمالية					Palestine															
	المطبعة العربية الحديثة			Jerusalem		Palestine															
	المطبعة العمومية			Damascus		Syria															
	المطبعة المركزية			Ramallah		Palestine															
	مطبعة دار احياء الكتب العربية			Cairo		Egypt															
	مطبعة فينوس			Nazareth		Palestine															
	المعهد المسكوني للدراسات اللاهوتية ـ الطنطور	1972		Jerusalem		Palestine													https://www.lpj.org/ar/posts/%D9%85%D8%B9%D9%87%D8%AF-%D8%A7%D9%84%D8%B7%D9%86%D8%B7%D9%88%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D9%83%D9%88%D9%86%D9%8A-%D9%84%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D8%A7%D8%AA-%D8%A7%D9%84%D9%84%D8%A7%D9%87-5e47362c3f0fe.html	Non-denominational Christian organisation	
	المكتبة الشعبية			Nablus		Palestine															
The Educational Bookshop	المكتبة العلمية	1984		Jerusalem		Palestine	القدس, شارع صلاح الدين			http://www.educationalbookshop.com/											
	المكتبة الوطنية	1921	1931	Haifa		Palestine										البحري, جميل	البحري, حنا				
	المنتدى التنويري الثقافي	2010		Nablus		Palestine				https://www.facebook.com/groups/117613914927297/											
	المنظمة الشعبية لتحرير فلسطين			Amman		Jordan															
	المنظمة العربية للتربية والثقافة والعلوم			Tunis		Tunisia															
	النادي الادبى			Riyadh		Saudi Arabia															
	النادي الادبى بالرياض			Riyadh		Saudi Arabia															
	الوراق (منيف)	2000		Ramallah		Palestine		00 970 2403101								قطامش, أحمد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الوكالة العربية			Azzarqa		Jordan															
	الوكالة الفلسطينية			Jerusalem		Palestine															
	بلدية البيرة قسم شؤون الثقافة			Al-Bira		Palestine	البيرة - شارع البلدية	 00 970 20 2404737 		https://www.al-bireh.ps/facilities/cultural_community	Palestinian National Authority										
	بلدية نابلس			Nablus		Palestine		00 970 92390000	nablus@nablus.org	http://nablus.org/index.php/en/	Palestinian National Authority										
	بيت الامل			Shafa Amr		Israel	PO Box 218, Nablus			https://www.facebook.com/menhon/posts/982336101941952/											
	بيت الشعر وزارة الثقافة			Ramallah		Palestine				https://www.facebook.com/%D8%A8%D9%8A%D8%AA-%D8%A7%D9%84%D8%B4%D8%B9%D8%B1-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A-%D9%88%D8%B2%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D8%A9-1259888840801425/	Palestinian National Authority							Reference to بيت الشعر    http://www.moc.pna.ps/article/1912/%D8%A8%D9%8A%D8%AA-%D8%A7%D9%84%D8%B4%D8%B9%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AF%D9%89-%D8%A7%D9%84%D8%AA%D9%86%D9%88%D9%8A%D8%B1%D9%8A-%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D9%8A-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A-%D9%8A%D8%AA%D9%81%D9%82%D8%A7%D9%86-%D8%B9%D9%84%D9%89-%D8%A5%D9%82%D8%A7%D9%85%D8%A9-%D9%88%D8%B1%D8%B4%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%83%D8%AA%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D8%B4%D8%B9%D8%B1%D9%8A%D8%A9	http://www.moc.pna.ps/		
	بيت المقدس للنشر والتوزيع			Jerusalem		Palestine												https://simania.co.il/publisherDetails.php?itemId=173660			
	تيلي بال للنشر	1995		Al-Bira		Palestine		00 970 2952586								اللبدي, محمد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	جامعة الدول العربية معهد البحوث والدراسات العربية			Cairo		Egypt															
	جامعة القدس المفتوحة	1991		Ramallah		Palestine	Ramallah, Palestine	00 970 2 29645714	info@qou.edu	https://portal.qou.edu/portalLogin.do											
	جامعة القدس المفقوحة			Amman		Jordan															
	جامعة النجاح الوطنية	1977		Nablus		Palestine			info@najah.edu	https://www.najah.edu/ar/											
	جامعة بيت لحم	1973		Bethlehem		Palestine	Rue des Freres # 9, Bethlehem	00 972 1241 274	communications@bethlehem.edu	https://www.bethlehem.edu/arabic											
	جامعة بير زيت	1975		Bir Zeit		Palestine				https://www.birzeit.edu/											
	جامعة حيفا			Haifa		Israel															
	جامعة فلسطين - عمادة الدراسات العليا والبحث العلمي			Jerusalem		Palestine															
	جبهة التحرير الوطني			Algiers		Algeria															
	جبهة النضال الشعبي الفلسطيني			Damascus		Syria															
	جريدة النهار					Palestine															
	جمعية إنعاش الاسرة	1965		Al-Bira		Palestine				https://www.youtube.com/channel/UCTUN1btK68n3gsaV_ZYbBbQ									https://prezi.com/view/K49owb1q6iwv1wnlMSbj/		
	جمعية الدراسات العربية			Jerusalem		Palestine				http://www.arabstudiessociety.org/											
	جمعية الصداقة الفلسطينيية اليونانية			Jerusalem		Palestine													http://www.wbn.ps/news/%D8%A8%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D8%AC%D9%85%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D8%B5%D8%AF%D8%A7%D9%82%D8%A9-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D9%8A%D9%88.html		
	جمعية العنقاء الثقافية			Hebron		Palestine													https://www.albsed.com/28483/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D9%86%D9%82%D8%A7%D8%A1-%D8%AA%D8%B9%D8%B1%D8%B6-%D8%A3%D9%81%D9%84%D8%A7%D9%85-%D9%88%D8%AA%D9%86%D9%81%D8%B0-%D9%81%D8%B9%D8%A7%D9%84%D9%8A%D8%A7%D8%AA-%D8%AB%D9%82%D8%A7%D9%81%D9%8A%D8%A9-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%86%D8%B4%D9%88%D9%81-%D9%81%D9%8A%D9%84%D9%85	Not the same  جمعية العنقاء للتنمية المجتمعية في غزة https://www.wattan.net/ar/news/293346.html	
Arab Thought Forum	جمعية الملتقى الفكري العربي			Jerusalem		Palestine				https://www.facebook.com/ATF.multaqa/									https://www.nli.org.il/en/books/NNL_ALEPH003873427/NLI		
	جمعية جذور السلام	2000		Bethlehem		Palestine		00 970 2740006		https://www.facebook.com/BeitPress/posts/194375210710553/						طقاطقة, عيسى			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	جمعية شؤون المرأة			Nablus		Palestine															
	مركز اوغاريت للنشر والتوزيع	2005		Ramallah		Palestine		00 970 2405974								أبو بكر, وليد					
	حركة التحرير الوطني الفلسطيني  - فتح			Amman		Jordan															
	حزب العمال الموحد			Tel Aviv		Israel															
	حسونة	1996		Gaza		Palestine		00 970 0 863729													
	حكومة فلسطين الانتدابية			Jerusalem		Palestine															
	حنين للنشر والتوزيع	1999		Ramallah		Palestine		00 970 2951573								علي, صبحي محمد  			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دائرة المطبوعات والنشر			Amman		Jordan															
	دار ٣٠ أيار			Nazareth		Palestine															
	دار أسامة للنشر والتوزيع	2000		Hebron		Palestine		00 970 2224303	osama-house@hotmail.com	https://www.facebook.com/pages/category/Writer/%D8%AF%D8%A7%D8%B1-%D8%A7%D8%B3%D8%A7%D9%85%D8%A9-%D9%84%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86-588628647851480/						أبو حلتم, محمد					
	دار إنماء الطفل للنشر والتوزيع	1998		Ramallah		Palestine		00 970 2981657								عوض, فريد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار ابن رشد			Beirut		Lebanon															
	دار اخبار فلسطين للصحافة والطباعة والنشر			Gaza		Palestine															
	دار اقرأ للنشر والتوزيع	1999		Ramallah		Palestine		00 970 2980010								البرغوثي, عبد اللطيف			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الأجيال			Damascus		Syria															
	دار الأرز للنشر والتوزيع	2004		Ramallah		Palestine		00 970 059653910													
	دار الأرض للنشر والتوزيع	2010		Ramallah		Palestine		00 970 0598619475								أبو صبح, موفق			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started. Also listed https://smartindex.ps/company/s/19230	
	دار الأفق الجديد			Amman		Jordan															
	دار الأقصى للنشر والتوزيع	2002		Ramallah		Palestine	شارع الرئيسي، قرب سرية رام الله, حي الطيرة	00 970 059658993								غنام, تيسير		https://kstna.com/business/dar-al-aqsa-est-for-publishing-distribution	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الأمل للنشر والتوزيع	1999		Jenin		Palestine		00 970 2434821								السبع, محمود			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الأمين للنشر والتوزيع	2010		Ramallah		Palestine	طابق 1 عمارة الاسراء ، شارع الارسال, وسط البلد, رام الله	00 970 0599649769								يونس, أمين		https://kstna.com/business/dar-al-amin-bookstore-for-publication-and-distribution	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الأهرام للنشر والتوزيع	2005		Deir Dibwan		Palestine		00 970 2896729								حسين, ذبلان, حسين			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الإسراء للنشر والتوزيع	1998		Jit		Palestine		00 970 0384906								عرمان, محمد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الاتحاد التعاونية	1953	1985	Haifa		Israel															
	دار الاتحاد التعاونية			Jerusalem		Palestine															
	دار الاداب للنشر والتوزيع			Beirut		Lebanon															
	دار الاسراء			Jerusalem		Palestine															
	دار الاسراء للطباعة			Hebron		Palestine	الخليل - ش. عين سارة - بجانب البلدية												https://shobiddak.com/daleels/300		
	دار الاسراء للنشر والتوزيع			Amman		Jordan															
	دار الاعلام للنشر والتوزيع	1993		Nablus		Palestine	نابلس, شارع فلسطين	00 970 92387512	aalam-bs@hotmail.com	https://www.facebook.com/dar.al.aalam.nablus/						عدنان, ماهر		https://shobiddak.com/daleels/1682		FB pages states it has the widest publisher distibution in Palestine	
	دار الافاق			Beirut		Lebanon															
	دار الانوار			Damascus		Syria															
	الاهرام			Cairo		Egypt															
	دار الايتام الإسلامية الصناعية	1921		Jerusalem		Palestine	العيزرية - بجانب مسجد المرابطين مقابل مديرية صحة القدس	00 970 22792942	info@daralaytam.ps	https://www.daralaytam.ps/						الحسيني, محمد					
	دار الباحث للطباعة و النشر والتوزيع			Beirut		Lebanon															
	دار البداية ناشرون وموزعون			Amman		Palestine															
	دار البشير للنشر	1999		Ramallah		Palestine		00 970 2960140													
	دار البلاد			Jeddah		Saudi Arabia															
	دار البيادر			Jerusalem		Palestine															
	دار البيان للنشر والتوزيع	2001		Bethlehem		Palestine		00 970 2750141								مطور, عمر			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار البيرق العربي للنشر والتوزيع	2007		Ramallah		Palestine	دوار الساعة، شارع المكتبة، بناية تفاحة, رام الله	00 970 22950521		http://www.lailnhar.com/content/%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D8%A8%D9%8A%D8%B1%D9%82-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D9%84%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9						الهودلي, عبد الجابر	جودة, أكرم		http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار البيرق العربي للنشر والتوزيع	1998		Tulkarm		Palestine										جودة, أكرم			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
