Include political parties, trade unions, POI (e.g. cafe), and holding institutions		Activity years		Places	Fill in only if  Palestine		number, address	Free text: if there is no street address	Relation to table Literary events 					free-text: sources  and links (private)	free-text: sources  and links (private)	any other note (private)
المكتبة الوطنية	Bookshop	1921	1930	Haifa		Palestine									منصور، جوني. 2016. حيفا: الكلمة التي صارت مدينة، ص. 341-343	
المنتدى الثقافي	Cultural organisation			Al-Tayyiba		Israel		Centre for Palestinian culture								
النهار	Magazine publisher							literary supplement of an-Nahar								
جامعة النجاح	University	1977		Nablus		Palestine										
جامعة بيرزيت	University	1953		Bir Zeit	Ramallah	Palestine		from the beginning of University Level Courses						http://www.birzeit.edu/en/about/history/tale		
جامعة حيفا	University			Haifa		Israel										
جمعية الرابطة الأدبية	Cultural organisation	1922	1931	Haifa		Palestine		A cultural organisation interested in promoting the Arabic language through Art	L3006, L3007, L3008	organised by				https://box.fu-berlin.de/f/59199559	http://www.suhmata.com/thkafauadab98.php	End date not definite but 1931 marks last known event; Started off by being called حلقة الأدب
دار الكتب الوطنية	Library			Tunis												
دار المعلمات بالقدس	College	1919		Jerusalem		Palestine										
درب القصيدة	Poetry exhibition			Haifa		Israel		Through the German colony in Haifa; Posters of Arab and Jewish poets displayed		hosted by				Furani 2012, Chaper 11,pp 199- 200		The street has become this exhibiion. No presence of post-1967 West Bank and Gaza poets:  محمد, زكريا: درويش, محمود: القاسم, سميح: زياد, توفيق Features 1948 area posts such as
رابطة المثقفين العرب	Political organisation	1937	1948			Palestine										
ستوديو وسينما العاصي	Cinema	1952	2017	Nablus		Palestine									http://pcd.flp.ps/sites/default/files/catalog2019-2.pdf	
سلك الشرطة بالناصرة	Government Organization			Nazareth		Palestine										
سينما الأندلس	Cinema	1965		Tulkarm		Palestine									http://pcd.flp.ps/sites/default/files/catalog2019-2.pdf	
سينما الحمرا	Cinema	1937	1948	Jaffa		Palestine									http://pcd.flp.ps/sites/default/files/catalog2019-2.pdf	
سينما الخصراء	Cinema	1941	1960	Nablus		Palestine	الشويترة								http://pcd.flp.ps/sites/default/files/catalog2019-2.pdf, "https://www.arab48.com/%D9%81%D8%B3%D8%AD%D8%A9/%D8%A8%D8%B5%D8%B1/%D8%AA%D8%B4%D9%83%D9%8A%D9%84/2019/05/17/%D9%86%D8%A7%D9%81%D8%B0%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85-%D8%A3%D8%B1%D8%B4%D9%8A%D9%81-%D8%B3%D9%8A%D9%86%D9%85%D8%A7-%D9%86%D8%A7%D8%A8%D9%84%D8%B3-%D8%B4%D8%A7%D9%87%D8%AF%D8%A7-%D9%88%D8%B4%D9%87%D9%8A%D8%AF%D8%A7"	
سينما النصر	Cinema	1953	1996	Gaza		Palestine									http://pcd.flp.ps/sites/default/files/catalog2019-2.pdf	
سينما الهاشمي	Cinema	1950	1987	Jenin		Palestine									http://pcd.flp.ps/sites/default/files/catalog2019-2.pdf	Turned into a wedding hall after 1st Intifada
شؤون الفلسطينية ١	Magazine publisher	1971	1983	Beirut		Lebanon								https://palestine.mei.columbia.edu/1994/2017/2/23/within-the-revolution-gdd6z-mbxw7-73xy7-kcs8a-txj2j-lcajn-d65k8-p3d5e-p8r6k-8rxy4-24hxb-ww7kt-kexsw-l2sp8-bmffx-6zt4x-k96y3-m26at-jdlgj-5bxg8-3nfzx-43xra-jem43		Lebanon Phase
شؤون الفلسطينية ٢	Magazine publisher	1985	1993	Nicosia		Cyprus								https://ar.wikipedia.org/wiki/%D8%B4%D8%A4%D9%88%D9%86_%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A9_%28%D9%85%D8%AC%D9%84%D8%A9%29		Cyprus Phase
شؤون الفلسطينية ٣	Magazine publisher	2011		Ramallah	Ramallah	Palestine								https://ar.wikipedia.org/wiki/%D8%B4%D8%A4%D9%88%D9%86_%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A9_%28%D9%85%D8%AC%D9%84%D8%A9%29		Ramallah Phase
صحيفة الاتحاد	Newspaper publisher	1944		Haifa		Israel	شارع مار يوحنا، 39									
عصبة التحرر الوطني	Political organisation	1943	1949			Palestine										
كلية المعلمين العرب	College			Haifa		Israel										
كلية النجاح الوطنية	College	1941	1976	Nablus		Palestine										
كلية شميدت للبنات	School			Jerusalem		Israel										
مؤسسة عبد المحسن القطان	Developmental Organisation	1993				United Kingdom										
مجلة الجديد	Magazine publisher	1951	1991	Haifa		Israel										
مجلة الغد	Magazine publisher	1944	1946	Jerusalem		Palestine	ساحة اللنبي	مجلة سياسية ثقافية اجتماعية نصف شهرية تصدرها رابطة المثقفين العرب في فلسطين	L3003	took place at					Mahr al-Buma by Hanna Abu Hanna, pp. 60	
مجلة المنتدى	Magazine publisher	1943	1947	Jerusalem		Palestine		مجلة دار الإذاعة الفلسطينية								
مجلة المواكب	Magazine publisher	1984		Nazareth		Israel										
مجلة مواقف	Magazine publisher	1995	2007	Nazareth		Israel										
مدرسة الحكومة في عكا	School			Acre		Israel										
مدرسة الروم الكاثوليك بحيفا	School	1904		Haifa		Palestine									منصور، جوني. 2016. حيفا: الكلمة التي صارت مدينة، ص. 341-343	
مدرسة الشرطة ببيت لحم	College			Bethlehem		Palestine										
مدرسة العشار بالبصرة	School			Basra		Iraq										
مدرسة الفرير	School			Jerusalem		Palestine										
مدرسة اللاتين بالناصرة	School			Nazareth		Palestine										
مدرسة المعارف بالناصرة	School			Nazareth		Palestine										
مدرسة النجاح الوطنية	College	1918	1941	Nablus		Palestine										
مدرسة سان جورج	School			Jerusalem		Palestine										
مطبعة الجميل	Printing Press	1930	1932	Haifa		Palestine										
مطبعة الزهرة	Printing Press	1922	1930	Haifa		Palestine										
مقهى الزنوج	Café	1982	1994	Tunis		Tunisia		meeting place of Palestinian literary figures in Tunis								
مقهى الكون	Café	1982	1994	Tunis		Tunisia		meeting place of Palestinian literary figures in Tunis								
مكتبة الكتاب	Bookshop			Tunis		Tunisia										
مواقف	Magazine publisher	1968	1994	Beirut		Lebanon								https://www.eurozine.com/start-stop-begin-2/		
نزل سلوى	Hotel	1982	1982	Tunis		Tunisia		meeting place of Palestinian literary figures in Tunis	L1002	took place at						
نقابة الممثلين العرب	Trade union	1942	1948	Jerusalem		Palestine									https://khazaaen.wordpress.com/2018/02/25/%D8%B9%D9%86-%D9%86%D9%82%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D9%85%D9%85%D8%AB%D9%84%D9%8A%D9%86-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8-%D9%81%D9%8A-%D8%A7%D9%84%D9%82%D8%AF%D8%B3/	Demolished in 2017
University of British Columbia	University	1908		Vancouver		Canada										
جامعة الكويت‎‎	University	1966		Kuwait City		Kuwait										
American University	University	1893		Washington D.C.		United States										
Harvard University	University	1636		Cambridge, Massachusetts		United States										
Simon Fraser University	University	1965		Burnaby		Canada										
الجامعة العربية الأمريكية	University	2000		Telfit	Jenin	Palestine										
Canadian Institute for International Peace and Security	Research organisation	1983				Canada									https://mje.mcgill.ca/article/viewFile/7756/5685	
Al-Shabaka, The Palestinian Policy Network	Think Tank	2013		Washington D.C.		United States										
Trans Arab Research Institute	Research organisation	1998				United States										
جامعة القاهرة	University	1908		Cairo		Egypt										
St Antony's College	College	1950		Oxford		United Kingdom										
University of Calgary	University	1966		Calgary		Canada										
University of Manchester	University	2004		Manchester		United Kingdom										
SOAS University of London	University	1916		London		United Kingdom										
Université Paris 8 Vincennes-Saint-Denis	University	1969		Paris		France										
جامعة دمشق	University	1923		Damascus		Syria										
Institute for Palestine Studies	Research organisation	1963		Beirut		Lebanon										
Association of Arab American University Graduates	Cultural organisation	1967														
دار المعلمين بيافا	Teachers' College			Jaffa		Palestine										
رابطة الكتاب والمثقفين العرب	Cultural organisation	1957				Israel		أول رابطة للكتاب والمثقفين العرب سنة 1957، وكان من مؤسسيها عيسى لوباني ونمر مرقص وعدنان ظاهر ، ومن اعضائها راشد حسين وحنا أبو حنا وعصام العباسي ومصطفى مرار وشكيب جهشان وحبيب قهوجي وفريد وجدي الطبري وحسني عراقي	L3010	participated in					http://www.safsaf.org/word/2013/nov/18.htm	
المكتبة الشعبية	Bookshop	1965		Nazareth		Israel		مكتبة تابعة للحزب الشيوعي أدارها عيسى لوياني، ثم سهيل نصار وندى حبيبي (زوجة إميل حبيبي)							http://wajihseman.com/alwan_18.php	
مكتبة الشعوب	Bookshop	1968	1987	Nazareth		Israel	مكتبة يملكها عيسى لوباني									
رابطة شعراء العربية	Cultural organisation	1955	1955			Israel								أبو حنا، حنا. رحلة البحث عن التراث، ص. 109		
رابطة القلم العربي	Cultural organisation	1956	1956			Israel								أبو حنا، حنا. رحلة البحث عن التراث، ص. 109		
جمعية الشبان المسيحية	Religious organisation			Nazareth		Israel			L3011	hosted by						
النادي الثقافي	Cultural organisation			Kafr Yasif		Israel			L3011	hosted by						
نادي الإخاء	Cultural organisation			Haifa		Israel			L3011	hosted by						
جوقة الطليعة	Cultural organisation	1948	1960	Nazareth		Israel								أبو حنا، حنا. رحلة البحث عن التراث، ص. 111		
لجنة إحياء تراث راشد حسين	Cultural organisation	1978	1979	Acre		Israel										
American University in Cairo	University	1919		Cairo		Egypt										
دار المعلمين بعمان	College	1953		Amman		Jordan										
الجامعة الأردنية	University	1962		Amman		Jordan										
وكالة غوث اللاجئين الفلسطينيين بالأردن	Political organisation			Amman		Jordan										
نادي الثقافي القومي	Cultural organisation			Kuwait City		Kuwait									https://www.paljourneys.org/ar/biography/9814/%D8%BA%D8%B3%D8%A7%D9%86-%D9%83%D9%86%D9%81%D8%A7%D9%86%D9%8A	
مركز الأبحاث لمنظمة التحرير الفلسطينية	Research organisation			Beirut		Lebanon										
فرقة البلالين	Theatre troupe	1971				Palestine										
المسرح في جامعة بير زيت	Theatre					Palestine										
مسرح الفرافير	Theatre					Palestine										
مسرحية العيمة	Theatre					Palestine										
مسرحية المفتاح	Theatre					Palestine										
مسرحية مصارعة حرة	Theatre					Palestine										
فرقة صندوق العجب	Theatre troupe					Palestine										
رابطة الكتاب الأردنيين	Cultural organisation			Amman		Jordan										
رابطة الأدباء في الكويت	Cultural organisation			Kuwait City		Kuwait										
رابطة المسرحيين الأردنيين	Cultural organisation			Amman		Jordan										
